Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Activation of Protein Kinase Activity (GO:0032147)	1/47	0.054932232402403476	0.0991168541173802	0	0	18.83742911153119	54.65972021027424	ECT2
Negative Regulation of Biosynthetic Process (GO:0009890)	1/49	0.05720442221925741	0.10174215094710781	0	0	18.05072463768116	51.645362778983234	TRAP1
Mitotic Nuclear Division (GO:0140014)	1/49	0.05720442221925741	0.10174215094710781	0	0	18.05072463768116	51.645362778983234	RAN
Cellular Response to Radiation (GO:0071478)	1/50	0.05833855301300996	0.10302340212935802	0	0	17.68145519077196	50.24171555062859	ECT2
Epithelial to Mesenchymal Transition (GO:0001837)	1/51	0.059471376321145186	0.104284314816656	0	0	17.32695652173913	48.901178953928365	TBX3
Regulation of Wound Healing (GO:0061041)	1/53	0.061733106226820024	0.1074933108425048	0	0	16.65886287625418	46.3938490228076	CLDN1
Cellular Response to Ionizing Radiation (GO:0071479)	1/54	0.06286201570363556	0.1079492545531397	0	0	16.343724364232976	45.22003200693963	ECT2
Regulation of Protein Kinase Activity (GO:0045859)	1/54	0.06286201570363556	0.1079492545531397	0	0	16.343724364232976	45.22003200693963	ECT2
Positive Regulation of Cell Migration (GO:0030335)	2/349	0.06513373678567609	0.11108424972351606	0	0	5.14252030390359	14.045830675664947	CLDN1;S100A11
Positive Regulation of Protein Kinase Activity (GO:0045860)	1/57	0.06624093948786851	0.11220404035700177	0	0	15.46583850931677	41.981347198326795	ECT2
Heart Morphogenesis (GO:0003007)	1/58	0.06736465064138245	0.11254830133296956	0	0	15.193745232646835	40.98717694310057	TBX3
Positive Regulation of Protein Localization to Cell Periphery (GO:1904377)	1/59	0.06848706579454937	0.11254830133296956	0	0	14.931034482758621	40.03175141731448	EPB41L2
Regulation of Myoblast Differentiation (GO:0045661)	1/59	0.06848706579454937	0.11254830133296956	0	0	14.931034482758621	40.03175141731448	TBX3
Positive Regulation of Cell Cycle (GO:0045787)	1/60	0.06960818636657555	0.11254830133296956	0	0	14.67722918201916	39.11295320546662	TBX3
Muscle Organ Development (GO:0007517)	1/60	0.06960818636657555	0.11254830133296956	0	0	14.67722918201916	39.11295320546662	TEAD4
Cellular Response to Calcium Ion (GO:0071277)	1/60	0.06960818636657555	0.11254830133296956	0	0	14.67722918201916	39.11295320546662	ECT2
Purine Ribonucleotide Metabolic Process (GO:0009150)	1/60	0.06960818636657555	0.11254830133296956	0	0	14.67722918201916	39.11295320546662	RAN
Microtubule Cytoskeleton Organization Involved in Mitosis (GO:1902850)	1/64	0.07407975146726484	0.1182426802265958	0	0	13.742581090407178	35.766620798258494	RAN
Mitotic Cytokinesis (GO:0000281)	1/64	0.07407975146726484	0.1182426802265958	0	0	13.742581090407178	35.766620798258494	ECT2
Positive Regulation of Hydrolase Activity (GO:0051345)	1/68	0.07853071734192812	0.1245487173129943	0	0	12.919532770927969	32.870720562250014	ECT2
Negative Regulation of Cell Population Proliferation (GO:0008285)	2/391	0.07935089064418745	0.1250529858886245	0	0	4.577471371815845	11.598743054553816	TBX3;S100A11
Spliceosomal snRNP Assembly (GO:0000387)	1/70	0.0807485039378433	0.12645520428001877	0	0	12.54379332073094	31.565400257861334	WDR77
Cellular Response to Reactive Oxygen Species (GO:0034614)	1/71	0.08185547811017072	0.12738758780895318	0	0	12.363975155279503	30.944557621408986	ECT2
Response to Ionizing Radiation (GO:0010212)	1/72	0.08296117473656324	0.12830641310188973	0	0	12.189222290263318	30.343637326988627	ECT2
Regulation of DNA Replication (GO:0006275)	1/73	0.08406559523720614	0.1284192221721738	0	0	12.019323671497585	29.76174313200534	S100A11
Cell-cell Junction Organization (GO:0045216)	1/73	0.08406559523720614	0.1284192221721738	0	0	12.019323671497585	29.76174313200534	CLDN1
Regulation of Neuron Differentiation (GO:0045664)	1/74	0.08516874100351647	0.12931107627972926	0	0	11.854079809410363	29.198030568281713	ECT2
Macromolecule Modification (GO:0043412)	1/75	0.08627061346912118	0.12940592020368177	0	0	11.693301997649824	28.65170329299039	QPCT
Embryonic Organ Development (GO:0048568)	1/75	0.08627061346912118	0.12940592020368177	0	0	11.693301997649824	28.65170329299039	TEAD4
RNA Export From Nucleus (GO:0006405)	1/76	0.0873712140350116	0.13027204966896938	0	0	11.536811594202899	28.122009760714384	RAN
Cell Junction Organization (GO:0034330)	1/78	0.08956860503924313	0.13275346818316394	0	0	11.236024844720497	27.109723557490458	CLDN1
Positive Regulation of GTPase Activity (GO:0043547)	1/79	0.09066539829495439	0.1335839300322109	0	0	11.091415830546266	26.62582536725388	ECT2
Gland Development (GO:0048732)	1/81	0.09285518729033622	0.13600553903113952	0	0	10.81304347826087	25.699513172479282	TBX3
Wound Healing (GO:0042060)	1/83	0.09503992225158384	0.13758686418979288	0	0	10.548250265111347	24.82486651907214	CLDN1
Protein Import Into Nucleus (GO:0006606)	1/83	0.09503992225158384	0.13758686418979288	0	0	10.548250265111347	24.82486651907214	RAN
